ts,event,symbol,detail
1755209554981,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209555784,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209555784,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209556582,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209556582,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209557384,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209557384,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209558184,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209558186,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209558987,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209558987,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209559787,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209559787,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209560586,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209560588,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209561388,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209561389,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209562192,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209562992,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209562993,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209563794,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209563794,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209564592,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209564592,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209565396,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209565396,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209566197,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209566198,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209566996,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209566996,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209567796,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209567798,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209568595,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209568599,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209569400,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209569400,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209570197,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209570201,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
